es_fan,tiempo_fanatico,redes_sociales_artistas_favoritos,importancia_artista_redes,factores_seguir_artista_redes,factores_dejar_seguir_artista_redes,compra_productos,asistencia_eventos
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Su opiniones respecto a temas polemicos",0.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","dejar de tener actividad o novedades",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",0.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Si su música se vuelve mala",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Comentarios o filosofías que no se alinean a las mías. Y colaboraciones con artistas que no son de mi agrado.",0.0000,0.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X, Spotify ",4.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Álbumes nuevos que ya no le gusten, por malas colaboraciones y cambios en el estilo de su música o por un mal show en vivo",1.0000,1.0000
1,5,"Instagram, Tik Tok, Facebook, Youtube, X, Twitch",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Si lo declaran culpable de delitos de violencia sexual, trata de personas",0.0000,1.0000
1,5,"Instagram, Tik Tok, X",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades","Sin motivos",1.0000,0.0000
1,5,"Instagram, Tik Tok, X",4.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Inactividad, falta de contenido, algún escándalo, malas actitudes suyas, contenido irrelevante a su carrera ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Youtube",3.0000,"Me gusta su música, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Me aburre su contenido",0.0000,0.0000
1,5,"Instagram, Tik Tok, Youtube",4.0000,"Me interesa su vida personal, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Ya no me interesa su contenido o no lo frecuento demasiado ",0.0000,1.0000
1,5,"Instagram, Tik Tok, Youtube, X",2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Sin motivos",1.0000,1.0000
1,5,"Instagram, Tik Tok, Youtube, X",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Si han hecho algo cuestionable, y que se meta en problemas legales serios ",1.0000,1.0000
1,5,"Instagram, Tik Tok, Youtube, X",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","Ya no me gusta su contenido, o se me olvida que existen ",0.0000,1.0000
1,5,"Instagram, Twitch",3.0000,"Me interesa su vida personal, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Irrelevancia de contenido o porque ya no me interesa seguir estando al tanto de su vida, dejo de seguirlo tanto ",0.0000,1.0000
1,5,"Instagram, Youtube",1.0000,"Me gusta su música","Sin motivos",1.0000,1.0000
1,5,"Instagram, Youtube",1.0000,"Me gusta su música, Su imagen ","Por haber hecho una acción que no iba con sus valores. Le deja de gustar su música porque ya no encaja en su estilo de vida",1.0000,0.0000
1,5,"No los sigo en redes sociales",0.0000,"Me gusta su música","Polémicas (violencia) ",0.0000,1.0000
1,5,"No los sigo en redes sociales",1.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Sin motivos",0.0000,1.0000
1,5,"Tik Tok, Facebook, Youtube, X",2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Cuando son racistas, homofobicos u otro problema relacionado ",0.0000,0.0000
1,5,Youtube,2.0000,"Me gusta su música","Que cambie a un estilo de música que no me agrade ",0.0000,0.0000
1,4,,0.0000,"No aplica","Sin motivos",0.0000,0.0000
1,4,Instagram,2.0000,"Me gusta su música, Me interesa su vida personal","Que haga algo que no vaya con mis convicciones",0.0000,0.0000
1,4,"Instagram, Facebook",0.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","El mal comportamiento que tienen con sus fans ",0.0000,1.0000
1,4,"Instagram, Tik Tok",2.0000,"Me gusta su música","Porque suben lo mismo, spam o nada",0.0000,1.0000
1,4,"Instagram, Tik Tok",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que no sean auténticos.",0.0000,1.0000
1,4,"Instagram, Tik Tok, Facebook, Youtube",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Alguna polémica que hace que quiera dejar de ver tanta publicación suya porque hostiga ",1.0000,0.0000
1,4,"Instagram, Tik Tok, Facebook, Youtube, X",2.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","No es el caso de estos, pero cuando llegan a verse envueltos en algún delito o algo realmente grave",1.0000,1.0000
1,4,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me interesa su vida personal, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que nunca suba nada o su contenido vaya en contra de mis valores. ",1.0000,1.0000
1,4,"Instagram, Tik Tok, X",4.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Que sean groseros",1.0000,1.0000
1,4,"Instagram, Tik Tok, Youtube",4.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Sin motivos",0.0000,1.0000
1,4,"Instagram, Tik Tok, Youtube, X, Twitch",3.0000,"Me gusta su música, Quiero estar al día con sus novedades","Su spam o mucha publicidad",0.0000,1.0000
1,4,"Instagram, X",3.0000,"Me gusta su música","No hagan tanto spam",1.0000,1.0000
1,3,,0.0000,"No aplica","Sin motivos",0.0000,0.0000
1,3,Instagram,0.0000,"Me gusta su música","Que se vuelva muy famoso y olvide su esencia o que lo fumen por algo grave",1.0000,1.0000
1,3,Instagram,1.0000,"Me gusta su música","Que suba mucho contenido constantemente ",0.0000,0.0000
1,3,Instagram,0.0000,"Me gusta su música, Quiero estar al día con sus novedades","Si empieza con contenido aburrido",0.0000,1.0000
1,3,"Instagram, Facebook, Youtube",3.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Sin motivos",0.0000,0.0000
1,3,"Instagram, Facebook, Youtube, ",2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Por las dinámicas o concursos que realizan","cambien de genero musical, sigan modas.",0.0000,1.0000
1,3,"Instagram, Facebook, Youtube, X",3.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Por las dinámicas o concursos que realizan","Interacciones innecesarias o sin sentido. O si me dejan de gustar.",0.0000,1.0000
1,3,"Instagram, Tik Tok",3.0000,"Me gusta su música, Quiero estar al día con sus novedades","Sin motivos",1.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube",4.0000,"Me gusta su música, Me interesa su vida personal","Su vida",0.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música","Sus actitudes",0.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Me gusta su música, Me interesa su vida personal, Me gusta cómo interactúan con sus seguidores","Que sean mamones ",1.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Me interesa su vida personal, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Por sus publicaciones, o porque se metió en una controversia ",0.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube, X",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades","Alguna funa ",0.0000,1.0000
1,3,"Instagram, Tik Tok, Facebook, Youtube, X, Twitch",3.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","cambios drásticos ",0.0000,0.0000
1,3,"Instagram, Tik Tok, Youtube",2.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores","Que no suban nada o que los funen ",1.0000,1.0000
1,3,"Instagram, Tik Tok, Youtube",3.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Aveces suben mucho contenido de su vida diaria",1.0000,1.0000
1,3,"Instagram, Tik Tok, Youtube",2.0000,"Me gusta su música, Me interesa su vida personal, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Su forma de ser ",0.0000,0.0000
1,3,"Instagram, Tik Tok, Youtube",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades","No se",1.0000,1.0000
1,3,"Instagram, Tik Tok, Youtube, X",4.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Una mala reputación e imagen",0.0000,0.0000
1,3,"Instagram, X",0.0000,"Me gusta su música, Me interesa su vida personal, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","No me gusta su contenido o forma de ser ",1.0000,1.0000
1,3,"Instagram, X",3.0000,"Me gusta su música, Me interesa su vida personal, Quiero estar al día con sus novedades, Me gusta cómo interactúan con sus seguidores","no me interesa",0.0000,1.0000
1,2,,0.0000,"No aplica","Sin motivos",0.0000,0.0000
1,2,"Instagram, Tik Tok, Facebook, Youtube, X",0.0000,"Me gusta su música, Me gusta cómo interactúan con sus seguidores, Me gustan sus contenidos exclusivos (videos, fotos, etc.), Por las dinámicas o concursos que realizan","Sin motivos",0.0000,0.0000
1,2,"Instagram, Youtube",4.0000,"Me gusta su música, Me interesa su vida personal","Funas, dejan de ser auténticos en su contenido y hacen muchas colaboración y patrocinios diferentes, se empiezan a juntar con influencer que no me gustan. ",1.0000,1.0000
1,1,"Instagram, Tik Tok, Facebook, Youtube, X",4.0000,"Me gusta su música, Quiero estar al día con sus novedades, Me gustan sus contenidos exclusivos (videos, fotos, etc.)","Sin motivos",1.0000,1.0000
